timestamp(ms),temperature,setpoint,heater_ssr,
"1644143175,132","96,03","100",,
"1644143175,136",,,"1",
"1644143175,207","96,52",,,
"1644143175,208",,"100","1",
"1644143175,282","96,2","100",,
"1644143175,285",,,"1",
"1644143175,359","96,41","100",,
"1644143175,362",,,"1",
"1644143175,435","96,31","100",,
"1644143175,437",,,"1",
"1644143175,509","96,45",,,
"1644143175,51",,"100","1",
"1644143175,585","96,2","100",,
"1644143175,608",,,"1",
"1644143175,661","96,14","100","1",
"1644143175,734","95,72","100",,
"1644143175,757",,,"1",
"1644143175,833","96,31","100","1",
"1644143175,899","96,17","100",,
"1644143175,902",,,"1",
"1644143175,984","96,45",,,
"1644143175,986",,"100",,
"1644143175,989",,,"1",
"1644143176,059","96,1","100","1",
"1644143176,141","96,69","100",,
"1644143176,147",,,"1",
"1644143176,209","96,17","100","1",
"1644143176,28","96,55","100",,
"1644143176,307",,,"1",
"1644143176,359","96","100",,
"1644143176,384",,,"1",
"1644143176,458","96,31","100",,
"1644143176,461",,,"1",
"1644143176,537","96,76",,,
"1644143176,538",,"100","1",
"1644143176,609","96,27","100","1",
"1644143176,683","96,2","100",,
"1644143176,686",,,"1",
"1644143176,758","96,31","100",,
"1644143176,761",,,"1",
"1644143176,833","96,31","100",,
"1644143176,837",,,"1",
"1644143176,92","96,48","100",,
"1644143176,923",,,"1",
"1644143176,984","96,07","100","1",
"1644143177,083","96,38","100",,
"1644143177,089",,,"1",
"1644143177,158","96,58","100",,
"1644143177,159",,,"1",
"1644143177,237","96,41",,,
"1644143177,238",,"100","1",
"1644143177,309","96,52","100",,
"1644143177,311",,,"1",
"1644143177,386","96,58",,,
"1644143177,387",,"100","1",
"1644143177,459","96,41","100",,
"1644143177,463",,,"1",
"1644143177,534","96,48","100","1",
"1644143177,609","96,2","100",,
"1644143177,635",,,"1",
"1644143177,707","96,65",,,
"1644143177,708",,"100",,
"1644143177,71",,,"1",
"1644143177,783","96,24","100",,
"1644143177,786",,,"1",
"1644143177,858","96,24","100",,
"1644143177,859",,,"1",
"1644143177,935","96,34","100","1",
"1644143178,008","96,34",,,
"1644143178,009",,"100",,
"1644143178,012",,,"1",
"1644143178,083","96,17","100",,
"1644143178,088",,,"1",
"1644143178,158","96,2","100",,
"1644143178,198",,,"1",
"1644143178,234","96,55","100",,
"1644143178,258",,,"1",
"1644143178,308","96,62","100",,
"1644143178,309",,,"1",
"1644143178,407","96,31","100",,
"1644143178,411",,,"1",
"1644143178,485","96,55","100","1",
"1644143178,559","96,52","100",,
"1644143178,561",,,"1",
"1644143178,634","96,38","100",,
"1644143178,638",,,"1",
"1644143178,714","96,58",,,
"1644143178,715",,"100","1",
"1644143178,785","96,65",,,
"1644143178,787",,"100",,
"1644143178,808",,,"1",
"1644143178,858","96,65",,,
"1644143178,859",,"100","1",
"1644143178,933","96,62",,,
"1644143178,934",,"100",,
"1644143178,957",,,"1",
"1644143179,033","96,48","100",,
"1644143179,035",,,"1",
"1644143179,109","96,48","100","1",
"1644143179,184","96,58","100",,
"1644143179,188",,,"1",
"1644143179,262","96,38",,,
"1644143179,263",,"100","1",
"1644143179,334","96,76","100",,
"1644143179,338",,,"1",
"1644143179,409","96,65","100",,
"1644143179,413",,,"1",
"1644143179,48","96,76","100",,
"1644143179,508",,,"1",
"1644143179,559","96,65","100",,
"1644143179,583",,,"1",
"1644143179,659","96,27","100","1",
"1644143179,741","96,52",,,
"1644143179,742",,"100",,
"1644143179,744",,,"1",
"1644143179,81","96,62",,,
"1644143179,811",,"100",,
"1644143179,812",,,"1",
"1644143179,884","96,83","100",,
"1644143179,886",,,"1",
"1644143179,959","96,52",,,
"1644143179,96",,"100",,
"1644143179,963",,,"1",
"1644143180,034","96,76","100","1",
"1644143180,12","96,79",,,
"1644143180,121",,"100",,
"1644143180,123",,,"1",
"1644143180,185","96,9",,,
"1644143180,186",,"100","1",
"1644143180,259","96,69","100",,
"1644143180,287",,,"1",
"1644143180,357","96,55",,,
"1644143180,358",,"100","1",
"1644143180,433","96,86","100",,
"1644143180,436",,,"1",
"1644143180,508","96,69",,,
"1644143180,509",,"100",,
"1644143180,511",,,"1",
"1644143180,584","97,14",,,
"1644143180,585",,"100","1",
"1644143180,66","96,69","100","1",
"1644143180,735","96,93","100",,
"1644143180,759",,,"1",
"1644143180,808","96,72","100",,
"1644143180,832",,,"1",
"1644143180,883","97,03","100",,
"1644143180,907",,,"1",
"1644143180,982","97,03","100",,
"1644143180,985",,,"1",
"1644143181,057","97,14","100","1",
"1644143181,135","96,9","100","1",
"1644143181,212","96,48","100","1",
"1644143181,285","96,79","100",,
"1644143181,287",,,"1",
"1644143181,365","97,21","100","1",
"1644143181,434","97,17",,,
"1644143181,435",,"100","1",
"1644143181,513","97,21","100",,
"1644143181,514",,,"1",
"1644143181,608","97,45","100",,
"1644143181,612",,,"1",
"1644143181,682","97,35",,,
"1644143181,683",,"100",,
"1644143181,685",,,"1",
"1644143181,762","97,24","100",,
"1644143181,772",,,"1",
"1644143181,833","96,96",,,
"1644143181,834",,"100",,
"1644143181,836",,,"1",
"1644143181,909","96,93","100","1",
"1644143181,984","97,35","100",,
"1644143181,987",,,"1",
"1644143182,06","97,07","100",,
"1644143182,083",,,"1",
"1644143182,137","97,1",,,
"1644143182,138",,"100",,
"1644143182,158",,,"1",
